regen_efficiency,battery_capacity_mj,strategy,lap_time_s,improvement_s,deployed_j,harvested_j,soc_end
0.8,4.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2638242.57602862,0.13713896267605544
0.8,5.0,conservative,81.71339746490659,0.004742367066896236,3875009.3526693974,3862553.969526874,0.5975089233714941
0.8,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,5083555.555555556,0.8167111111111076
0.8,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.5760286297,0.30971117014084376
0.8,6.0,conservative,81.673087344838,0.045052487135492925,4278110.553355507,4262553.969526875,0.5974072360285624
0.8,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,5083555.555555556,0.7805925925925908
0.8,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3438242.5760286297,0.42475930845070553
0.8,7.0,conservative,81.63277722476938,0.08536260720410382,4681211.754041616,4662553.969526861,0.5973346022121784
0.8,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,5083555.555555556,0.7547936507936498
0.8,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3838242.5760286306,0.506936550100601
